species,codigo,descripcion,n_pixeles,km2
Mauritia flexuosa,11,Baja/Insustentable – Compatible,898220,754863
Mauritia flexuosa,12,Baja/Insustentable – Restaurable,137768,115780
Mauritia flexuosa,13,Baja/Insustentable – Incompatible,6398,5377
Mauritia flexuosa,31,Moderada idoneidad – Compatible,122699,103116
Mauritia flexuosa,32,Moderada idoneidad – Restaurable,13252,11137
Mauritia flexuosa,33,Moderada idoneidad – Incompatible,1092,918
Mauritia flexuosa,41,Alta idoneidad – Compatible (CONSERVACIÓN),212934,178949
Mauritia flexuosa,42,Alta idoneidad – Restaurable (RESTAURACIÓN),11049,9286
Mauritia flexuosa,43,Alta idoneidad – Incompatible (HÁBITAT PERDIDO),965,811
