species,longitude,latitude
Schinus molle,-64.467712,-31.098103
Schinus molle,-65.418534,-24.737532
Schinus molle,-66.436915,-38.74483
Schinus molle,-61.013693,-32.715045
Schinus molle,-64.72631,-32.692226
Schinus molle,-58.23708,-32.309066
Schinus molle,-63.686963,-35.663163
Schinus molle,-55.633286,-27.385302
Schinus molle,-68.876619,-32.894559
Schinus molle,-59.712894,-31.38677
Schinus molle,-64.522689,-42.429849
Schinus molle,-58.456846,-33.040613
Schinus molle,-62.684438,-30.921933
Schinus molle,-63.758751,-35.591975
Schinus molle,-63.550085,-37.750265
Schinus molle,-58.016946,-30.752667
Schinus molle,-61.164399,-33.054719
Schinus molle,-64.599867,-37.368794
Schinus molle,-58.240225,-30.682048
Schinus molle,-59.927525,-31.657512
Schinus molle,-64.484379,-37.118973
Schinus molle,-60.839028,-31.761627
Schinus molle,-58.613473,-34.439864
Schinus molle,-60.904466,-31.467667
Schinus molle,-61.885772,-31.89343
Schinus molle,-64.390564,-36.673748
Schinus molle,-60.527176,-31.833941
Schinus molle,-64.571212,-37.218665
Schinus molle,-60.004362,-36.02082
Schinus molle,-64.488959,-31.402944
Schinus molle,-58.169258,-32.238369
Schinus molle,-64.435218,-31.66335
Schinus molle,-58.013611,-35.582778
Schinus molle,-61.724741,-36.301657
Schinus molle,-64.101403,-38.97796
Schinus molle,-68.510358,-34.837133
Schinus molle,-65.029608,-32.211384
Schinus molle,-58.527311,-34.7448
Schinus molle,-64.505524,-30.861103
Schinus molle,-60.791395,-31.663091
Schinus molle,-59.072325,-34.344294
Schinus molle,-59.65133,-33.679488
Schinus molle,-64.759923,-30.762707
Schinus molle,-64.260709,-36.629672
Schinus molle,-64.234352,-35.923457
Schinus molle,-60.626223,-32.056857
Schinus molle,-61.693666,-31.449618
Schinus molle,-65.429338,-33.686928
Schinus molle,-58.771367,-34.430363
Schinus molle,-57.691783,-37.460758
Schinus molle,-64.976782,-31.688798
Schinus molle,-64.621428,-32.271416
Schinus molle,-60.17749,-35.407072
Schinus molle,-64.263415,-31.36287
Schinus molle,-61.869794,-35.837569
Schinus molle,-58.467268,-34.546364
Schinus molle,-59.519092,-33.799866
Schinus molle,-63.733888,-32.423434
Schinus molle,-68.614634,-32.891028
Schinus molle,-68.583404,-32.693282
Schinus molle,-61.289115,-38.978762
Schinus molle,-60.66458,-32.924177
Schinus molle,-58.729074,-35.025064
Schinus molle,-58.210988,-31.874184
Schinus molle,-60.674404,-31.636112
Schinus molle,-60.620545,-33.059903
Schinus molle,-60.932124,-31.682342
Schinus molle,-68.614537,-34.773434
Schinus molle,-67.659096,-35.026141
Schinus molle,-59.20279,-38.044716
Schinus molle,-64.41239,-32.185663
Schinus molle,-65.032824,-32.032311
Schinus molle,-58.507722,-34.83544
Schinus molle,-59.985461,-32.708769
Schinus molle,-64.469907,-31.234032
Schinus molle,-60.16278,-31.199013
Schinus molle,-64.998167,-32.330222
Schinus molle,-67.791163,-37.867642
