species,codigo,descripcion,n_pixeles,km2
Jubaea chilensis,11,Baja/Insustentable – Compatible,45523,32883
Jubaea chilensis,12,Baja/Insustentable – Restaurable,3727,2692
Jubaea chilensis,13,Baja/Insustentable – Incompatible,17584,12702
Jubaea chilensis,31,Moderada idoneidad – Compatible,12058,8710
Jubaea chilensis,32,Moderada idoneidad – Restaurable,1494,1079
Jubaea chilensis,33,Moderada idoneidad – Incompatible,4191,3027
Jubaea chilensis,41,Alta idoneidad – Compatible (CONSERVACIÓN),20679,14937
Jubaea chilensis,42,Alta idoneidad – Restaurable (RESTAURACIÓN),1465,1058
Jubaea chilensis,43,Alta idoneidad – Incompatible (HÁBITAT PERDIDO),6596,4765
