partido,provincia,idoneidad_media,idoneidad_maxima,area_alta_idoneidad_km2,species,rango
Dolores,Buenos Aires,0.2127,0.308,0,Erythrina crista-galli,80
Chacabuco,Buenos Aires,0.2096,0.408,0,Erythrina crista-galli,81
Rivadavia,Buenos Aires,0.2042,0.399,0,Erythrina crista-galli,82
Alberti,Buenos Aires,0.204,0.415,0,Erythrina crista-galli,83
Villa Gesell,Buenos Aires,0.2022,0.397,51.2,Erythrina crista-galli,84
Tordillo,Buenos Aires,0.2003,0.369,24.23,Erythrina crista-galli,85
Saladillo,Buenos Aires,0.1983,0.602,0.7,Erythrina crista-galli,86
Olavarría,Buenos Aires,0.1937,0.501,0,Erythrina crista-galli,87
Hipólito Yrigoyen,Buenos Aires,0.1907,0.55,0,Erythrina crista-galli,88
Azul,Buenos Aires,0.1841,0.42,0,Erythrina crista-galli,89
General Juan Madariaga,Buenos Aires,0.1807,0.346,0,Erythrina crista-galli,90
Guaminí,Buenos Aires,0.1807,0.456,0,Erythrina crista-galli,91
Las Flores,Buenos Aires,0.1797,0.382,0,Erythrina crista-galli,92
General Lavalle,Buenos Aires,0.1792,0.344,35.97,Erythrina crista-galli,93
Roque Pérez,Buenos Aires,0.1765,0.405,0,Erythrina crista-galli,94
Rauch,Buenos Aires,0.1742,0.331,0,Erythrina crista-galli,95
Necochea,Buenos Aires,0.1707,0.372,98.63,Erythrina crista-galli,96
Maipú,Buenos Aires,0.1683,0.278,0,Erythrina crista-galli,97
Trenque Lauquen,Buenos Aires,0.1681,0.396,0,Erythrina crista-galli,98
Daireaux,Buenos Aires,0.167,0.297,0,Erythrina crista-galli,99
General Guido,Buenos Aires,0.1668,0.29,0,Erythrina crista-galli,100
Laprida,Buenos Aires,0.1646,0.272,0,Erythrina crista-galli,101
Tandil,Buenos Aires,0.1645,0.355,0,Erythrina crista-galli,102
Lobería,Buenos Aires,0.1577,0.364,40.34,Erythrina crista-galli,103
Adolfo Alsina,Buenos Aires,0.152,0.401,0,Erythrina crista-galli,104
Ayacucho,Buenos Aires,0.1517,0.3,0,Erythrina crista-galli,105
General La Madrid,Buenos Aires,0.1504,0.274,0,Erythrina crista-galli,106
General Alvarado,Buenos Aires,0.1472,0.201,55.93,Erythrina crista-galli,107
Coronel Suárez,Buenos Aires,0.1388,0.316,0,Erythrina crista-galli,108
General Pueyrredón,Buenos Aires,0.1365,0.24,65.61,Erythrina crista-galli,109
Mar Chiquita,Buenos Aires,0.1361,0.275,107.43,Erythrina crista-galli,110
Coronel de Marina Leonardo Rosal,Buenos Aires,0.1311,0.183,82.88,Erythrina crista-galli,111
Adolfo Gonzales Chaves,Buenos Aires,0.1283,0.235,0,Erythrina crista-galli,112
Balcarce,Buenos Aires,0.1269,0.24,0,Erythrina crista-galli,113
Coronel Dorrego,Buenos Aires,0.1245,0.268,70.83,Erythrina crista-galli,114
Benito Juárez,Buenos Aires,0.1242,0.294,0,Erythrina crista-galli,115
Bahía Blanca,Buenos Aires,0.1232,0.251,42.88,Erythrina crista-galli,116
Tornquist,Buenos Aires,0.1223,0.28,0,Erythrina crista-galli,117
Coronel Pringles,Buenos Aires,0.122,0.225,0,Erythrina crista-galli,118
San Cayetano,Buenos Aires,0.1214,0.2,42.22,Erythrina crista-galli,119
Tres Lomas,Buenos Aires,0.121,0.168,0,Erythrina crista-galli,120
Pellegrini,Buenos Aires,0.1186,0.194,0,Erythrina crista-galli,121
Saavedra,Buenos Aires,0.1171,0.195,0,Erythrina crista-galli,122
Puán,Buenos Aires,0.1129,0.386,0,Erythrina crista-galli,123
Salliqueló,Buenos Aires,0.1119,0.144,0,Erythrina crista-galli,124
Tres Arroyos,Buenos Aires,0.1066,0.206,103.72,Erythrina crista-galli,125
Monte Hermoso,Buenos Aires,0.1041,0.134,32.73,Erythrina crista-galli,126
Villarino,Buenos Aires,0.0798,0.263,727.24,Erythrina crista-galli,127
Patagones,Buenos Aires,0.0752,0.234,662.44,Erythrina crista-galli,128
