partido,provincia,idoneidad_media,idoneidad_maxima,area_alta_idoneidad_km2,species,rango
General Alvarado,Buenos Aires,0.274,0.424,55.93,Duranta erecta,85
Maipú,Buenos Aires,0.2639,0.448,0,Duranta erecta,86
General Pueyrredón,Buenos Aires,0.2606,0.554,65.61,Duranta erecta,87
Ameghino,Buenos Aires,0.2464,0.596,0,Duranta erecta,88
Lobería,Buenos Aires,0.2425,0.549,40.34,Duranta erecta,89
Necochea,Buenos Aires,0.2406,0.602,99.97,Duranta erecta,90
Rauch,Buenos Aires,0.2398,0.362,0,Duranta erecta,91
Bolívar,Buenos Aires,0.235,0.515,0,Duranta erecta,92
Olavarría,Buenos Aires,0.2325,0.431,0,Duranta erecta,93
General Guido,Buenos Aires,0.2132,0.514,0,Duranta erecta,94
Azul,Buenos Aires,0.2119,0.468,0,Duranta erecta,95
Mar Chiquita,Buenos Aires,0.2053,0.655,111.52,Duranta erecta,96
Pehuajó,Buenos Aires,0.1908,0.448,0,Duranta erecta,97
Carlos Tejedor,Buenos Aires,0.1723,0.477,0,Duranta erecta,98
Laprida,Buenos Aires,0.1698,0.28,0,Duranta erecta,99
Ayacucho,Buenos Aires,0.1659,0.276,0,Duranta erecta,100
Tandil,Buenos Aires,0.1586,0.274,0,Duranta erecta,101
General Villegas,Buenos Aires,0.1584,0.642,12.04,Duranta erecta,102
San Cayetano,Buenos Aires,0.1553,0.243,42.22,Duranta erecta,103
Balcarce,Buenos Aires,0.1511,0.363,0,Duranta erecta,104
Adolfo Gonzales Chaves,Buenos Aires,0.1431,0.255,0,Duranta erecta,105
Coronel Pringles,Buenos Aires,0.1395,0.359,0,Duranta erecta,106
Hipólito Yrigoyen,Buenos Aires,0.1371,0.373,0,Duranta erecta,107
Benito Juárez,Buenos Aires,0.1317,0.24,0,Duranta erecta,108
Tres Arroyos,Buenos Aires,0.1278,0.272,103.72,Duranta erecta,109
Monte Hermoso,Buenos Aires,0.1245,0.209,32.73,Duranta erecta,110
Coronel Dorrego,Buenos Aires,0.1234,0.266,70.83,Duranta erecta,111
General La Madrid,Buenos Aires,0.1206,0.26,0,Duranta erecta,112
Coronel de Marina Leonardo Rosal,Buenos Aires,0.1023,0.329,82.88,Duranta erecta,113
Rivadavia,Buenos Aires,0.1011,0.229,0,Duranta erecta,114
Daireaux,Buenos Aires,0.0911,0.276,0,Duranta erecta,115
Trenque Lauquen,Buenos Aires,0.0896,0.563,0,Duranta erecta,116
Tornquist,Buenos Aires,0.0765,0.305,0,Duranta erecta,117
Coronel Suárez,Buenos Aires,0.0755,0.226,0,Duranta erecta,118
Bahía Blanca,Buenos Aires,0.0711,0.226,42.88,Duranta erecta,119
Guaminí,Buenos Aires,0.064,0.281,0,Duranta erecta,120
Saavedra,Buenos Aires,0.0538,0.228,0,Duranta erecta,121
Pellegrini,Buenos Aires,0.0522,0.09,0,Duranta erecta,122
Tres Lomas,Buenos Aires,0.0472,0.082,0,Duranta erecta,123
Adolfo Alsina,Buenos Aires,0.0416,0.256,0,Duranta erecta,124
Puán,Buenos Aires,0.0405,0.093,0,Duranta erecta,125
Salliqueló,Buenos Aires,0.0402,0.057,0,Duranta erecta,126
Patagones,Buenos Aires,0.0401,0.122,662.44,Duranta erecta,127
Villarino,Buenos Aires,0.0388,0.187,727.24,Duranta erecta,128
