partido,provincia,idoneidad_media,idoneidad_maxima,area_alta_idoneidad_km2,species,rango
Mar Chiquita,Buenos Aires,0.1155,0.403,107.43,Ipomoea alba,84
General Alvarado,Buenos Aires,0.1146,0.19,55.93,Ipomoea alba,85
Mercedes,Buenos Aires,0.1141,0.304,0,Ipomoea alba,86
General Alvear,Buenos Aires,0.112,0.201,0,Ipomoea alba,87
Las Flores,Buenos Aires,0.1107,0.237,0,Ipomoea alba,88
Olavarría,Buenos Aires,0.1092,0.304,0,Ipomoea alba,89
Saladillo,Buenos Aires,0.1087,0.368,0,Ipomoea alba,90
General Pueyrredón,Buenos Aires,0.1085,0.388,65.61,Ipomoea alba,91
Alberti,Buenos Aires,0.1014,0.385,0,Ipomoea alba,92
Tapalqué,Buenos Aires,0.0997,0.217,0,Ipomoea alba,93
Pehuajó,Buenos Aires,0.0992,0.404,0,Ipomoea alba,94
San Cayetano,Buenos Aires,0.0915,0.173,42.22,Ipomoea alba,95
Navarro,Buenos Aires,0.0868,0.198,0,Ipomoea alba,96
Roque Pérez,Buenos Aires,0.0866,0.398,0,Ipomoea alba,97
Adolfo Gonzales Chaves,Buenos Aires,0.0783,0.134,0,Ipomoea alba,98
General La Madrid,Buenos Aires,0.0782,0.14,0,Ipomoea alba,99
Rivadavia,Buenos Aires,0.0739,0.188,0,Ipomoea alba,100
Laprida,Buenos Aires,0.0737,0.134,0,Ipomoea alba,101
Hipólito Yrigoyen,Buenos Aires,0.0716,0.157,0,Ipomoea alba,102
Ayacucho,Buenos Aires,0.069,0.19,0,Ipomoea alba,103
Trenque Lauquen,Buenos Aires,0.0687,0.54,0,Ipomoea alba,104
Daireaux,Buenos Aires,0.0686,0.19,0,Ipomoea alba,105
Azul,Buenos Aires,0.0677,0.148,0,Ipomoea alba,106
Tres Arroyos,Buenos Aires,0.0671,0.143,103.72,Ipomoea alba,107
Suipacha,Buenos Aires,0.0668,0.102,0,Ipomoea alba,108
Balcarce,Buenos Aires,0.0619,0.179,0,Ipomoea alba,109
Chivilcoy,Buenos Aires,0.0598,0.136,0,Ipomoea alba,110
Benito Juárez,Buenos Aires,0.0587,0.099,0,Ipomoea alba,111
Coronel de Marina Leonardo Rosal,Buenos Aires,0.0571,0.248,82.88,Ipomoea alba,112
Tandil,Buenos Aires,0.0499,0.105,0,Ipomoea alba,113
Bahía Blanca,Buenos Aires,0.0494,0.175,42.88,Ipomoea alba,114
Coronel Suárez,Buenos Aires,0.0458,0.112,0,Ipomoea alba,115
Coronel Dorrego,Buenos Aires,0.0445,0.095,70.83,Ipomoea alba,116
Coronel Pringles,Buenos Aires,0.0434,0.196,0,Ipomoea alba,117
Monte Hermoso,Buenos Aires,0.0413,0.082,32.73,Ipomoea alba,118
Pellegrini,Buenos Aires,0.037,0.076,0,Ipomoea alba,119
Guaminí,Buenos Aires,0.0358,0.225,0,Ipomoea alba,120
Tornquist,Buenos Aires,0.0356,0.123,0,Ipomoea alba,121
Puán,Buenos Aires,0.0342,0.126,0,Ipomoea alba,122
Adolfo Alsina,Buenos Aires,0.0339,0.311,0,Ipomoea alba,123
Tres Lomas,Buenos Aires,0.0315,0.04,0,Ipomoea alba,124
Salliqueló,Buenos Aires,0.0307,0.037,0,Ipomoea alba,125
Saavedra,Buenos Aires,0.0299,0.07,0,Ipomoea alba,126
Villarino,Buenos Aires,0.0285,0.187,727.24,Ipomoea alba,127
Patagones,Buenos Aires,0.0279,0.181,662.44,Ipomoea alba,128
