partido,provincia,idoneidad_media,idoneidad_maxima,area_alta_idoneidad_km2,species,rango
Alberti,Buenos Aires,0.1301,0.324,0,Tipuana tipu,84
Las Flores,Buenos Aires,0.1232,0.267,0,Tipuana tipu,85
Saladillo,Buenos Aires,0.1207,0.361,0,Tipuana tipu,86
Navarro,Buenos Aires,0.1204,0.25,0,Tipuana tipu,87
Rauch,Buenos Aires,0.1145,0.218,0,Tipuana tipu,88
Olavarría,Buenos Aires,0.1126,0.264,0,Tipuana tipu,89
Pehuajó,Buenos Aires,0.1101,0.374,0,Tipuana tipu,90
General Pueyrredón,Buenos Aires,0.1086,0.325,65.61,Tipuana tipu,91
Mar Chiquita,Buenos Aires,0.106,0.326,107.43,Tipuana tipu,92
Lobería,Buenos Aires,0.1054,0.286,40.34,Tipuana tipu,93
Necochea,Buenos Aires,0.1044,0.278,98.63,Tipuana tipu,94
Rivadavia,Buenos Aires,0.0992,0.228,0,Tipuana tipu,95
General Alvarado,Buenos Aires,0.0966,0.172,55.93,Tipuana tipu,96
Roque Pérez,Buenos Aires,0.0942,0.327,0,Tipuana tipu,97
Azul,Buenos Aires,0.0882,0.171,0,Tipuana tipu,98
Ayacucho,Buenos Aires,0.0834,0.185,0,Tipuana tipu,99
San Cayetano,Buenos Aires,0.0829,0.153,42.22,Tipuana tipu,100
Suipacha,Buenos Aires,0.0823,0.153,0,Tipuana tipu,101
Balcarce,Buenos Aires,0.0813,0.282,0,Tipuana tipu,102
Hipólito Yrigoyen,Buenos Aires,0.0812,0.184,0,Tipuana tipu,103
Chivilcoy,Buenos Aires,0.0777,0.199,0,Tipuana tipu,104
Laprida,Buenos Aires,0.0753,0.125,0,Tipuana tipu,105
Adolfo Gonzales Chaves,Buenos Aires,0.0727,0.158,0,Tipuana tipu,106
Tandil,Buenos Aires,0.0678,0.324,0,Tipuana tipu,107
Tres Arroyos,Buenos Aires,0.0645,0.183,103.72,Tipuana tipu,108
Trenque Lauquen,Buenos Aires,0.0638,0.525,0,Tipuana tipu,109
General La Madrid,Buenos Aires,0.0597,0.121,0,Tipuana tipu,110
Daireaux,Buenos Aires,0.0587,0.16,0,Tipuana tipu,111
Benito Juárez,Buenos Aires,0.0551,0.163,0,Tipuana tipu,112
Coronel Pringles,Buenos Aires,0.0486,0.201,0,Tipuana tipu,113
Coronel Dorrego,Buenos Aires,0.0455,0.113,70.83,Tipuana tipu,114
Tornquist,Buenos Aires,0.0446,0.207,0,Tipuana tipu,115
Coronel Suárez,Buenos Aires,0.0421,0.208,0,Tipuana tipu,116
Coronel de Marina Leonardo Rosal,Buenos Aires,0.0403,0.179,82.88,Tipuana tipu,117
Bahía Blanca,Buenos Aires,0.0401,0.086,42.88,Tipuana tipu,118
Monte Hermoso,Buenos Aires,0.038,0.094,32.73,Tipuana tipu,119
Saavedra,Buenos Aires,0.0367,0.182,0,Tipuana tipu,120
Pellegrini,Buenos Aires,0.0352,0.07,0,Tipuana tipu,121
Puán,Buenos Aires,0.0341,0.069,0,Tipuana tipu,122
Adolfo Alsina,Buenos Aires,0.0333,0.162,0,Tipuana tipu,123
Guaminí,Buenos Aires,0.0333,0.175,0,Tipuana tipu,124
Tres Lomas,Buenos Aires,0.0315,0.044,0,Tipuana tipu,125
Salliqueló,Buenos Aires,0.0303,0.039,0,Tipuana tipu,126
Patagones,Buenos Aires,0.0292,0.135,662.44,Tipuana tipu,127
Villarino,Buenos Aires,0.0274,0.102,727.24,Tipuana tipu,128
