partido,provincia,idoneidad_media,idoneidad_maxima,area_alta_idoneidad_km2,species,rango
Pila,Buenos Aires,0.1914,0.462,0,Syagrus romanzoffiana,76
Lincoln,Buenos Aires,0.1849,0.333,0,Syagrus romanzoffiana,77
Ameghino,Buenos Aires,0.1819,0.372,0,Syagrus romanzoffiana,78
Balcarce,Buenos Aires,0.1707,0.504,0,Syagrus romanzoffiana,79
Necochea,Buenos Aires,0.1702,0.422,98.63,Syagrus romanzoffiana,80
General Pinto,Buenos Aires,0.168,0.487,0,Syagrus romanzoffiana,81
General Guido,Buenos Aires,0.1657,0.395,0,Syagrus romanzoffiana,82
Mar Chiquita,Buenos Aires,0.1635,0.434,107.43,Syagrus romanzoffiana,83
Olavarría,Buenos Aires,0.1622,0.463,0,Syagrus romanzoffiana,84
General Belgrano,Buenos Aires,0.1603,0.53,0,Syagrus romanzoffiana,85
Roque Pérez,Buenos Aires,0.1594,0.361,0,Syagrus romanzoffiana,86
Leandro N. Alem,Buenos Aires,0.1542,0.294,0,Syagrus romanzoffiana,87
Rauch,Buenos Aires,0.1537,0.217,0,Syagrus romanzoffiana,88
Rojas,Buenos Aires,0.1534,0.308,0,Syagrus romanzoffiana,89
General Alvear,Buenos Aires,0.1525,0.236,0,Syagrus romanzoffiana,90
Tapalqué,Buenos Aires,0.1521,0.247,0,Syagrus romanzoffiana,91
General Villegas,Buenos Aires,0.1499,0.479,0,Syagrus romanzoffiana,92
General Arenales,Buenos Aires,0.1461,0.389,0,Syagrus romanzoffiana,93
Colón,Buenos Aires,0.1438,0.246,0,Syagrus romanzoffiana,94
Azul,Buenos Aires,0.1432,0.413,0,Syagrus romanzoffiana,95
Carlos Tejedor,Buenos Aires,0.1424,0.245,0,Syagrus romanzoffiana,96
Tandil,Buenos Aires,0.1419,0.424,0,Syagrus romanzoffiana,97
Saladillo,Buenos Aires,0.1387,0.506,0,Syagrus romanzoffiana,98
Bolívar,Buenos Aires,0.1371,0.291,0,Syagrus romanzoffiana,99
Pehuajó,Buenos Aires,0.1263,0.336,0,Syagrus romanzoffiana,100
Las Flores,Buenos Aires,0.1244,0.222,0,Syagrus romanzoffiana,101
San Cayetano,Buenos Aires,0.114,0.181,42.22,Syagrus romanzoffiana,102
Ayacucho,Buenos Aires,0.1047,0.18,0,Syagrus romanzoffiana,103
Benito Juárez,Buenos Aires,0.097,0.384,0,Syagrus romanzoffiana,104
Hipólito Yrigoyen,Buenos Aires,0.0958,0.2,0,Syagrus romanzoffiana,105
Adolfo Gonzales Chaves,Buenos Aires,0.0905,0.258,0,Syagrus romanzoffiana,106
Laprida,Buenos Aires,0.0889,0.174,0,Syagrus romanzoffiana,107
Tres Arroyos,Buenos Aires,0.086,0.26,103.72,Syagrus romanzoffiana,108
Rivadavia,Buenos Aires,0.0814,0.22,0,Syagrus romanzoffiana,109
General La Madrid,Buenos Aires,0.0644,0.133,0,Syagrus romanzoffiana,110
Coronel Pringles,Buenos Aires,0.0637,0.283,0,Syagrus romanzoffiana,111
Daireaux,Buenos Aires,0.0634,0.159,0,Syagrus romanzoffiana,112
Trenque Lauquen,Buenos Aires,0.051,0.544,0,Syagrus romanzoffiana,113
Coronel Dorrego,Buenos Aires,0.0505,0.189,70.83,Syagrus romanzoffiana,114
Coronel Suárez,Buenos Aires,0.0484,0.232,0,Syagrus romanzoffiana,115
Tornquist,Buenos Aires,0.0475,0.277,0,Syagrus romanzoffiana,116
Monte Hermoso,Buenos Aires,0.0408,0.054,32.73,Syagrus romanzoffiana,117
Bahía Blanca,Buenos Aires,0.0393,0.108,42.88,Syagrus romanzoffiana,118
Saavedra,Buenos Aires,0.0381,0.154,0,Syagrus romanzoffiana,119
Coronel de Marina Leonardo Rosal,Buenos Aires,0.0373,0.077,82.88,Syagrus romanzoffiana,120
Guaminí,Buenos Aires,0.0364,0.133,0,Syagrus romanzoffiana,121
Adolfo Alsina,Buenos Aires,0.0318,0.117,0,Syagrus romanzoffiana,122
Tres Lomas,Buenos Aires,0.031,0.035,0,Syagrus romanzoffiana,123
Pellegrini,Buenos Aires,0.0308,0.043,0,Syagrus romanzoffiana,124
Puán,Buenos Aires,0.0306,0.052,0,Syagrus romanzoffiana,125
Salliqueló,Buenos Aires,0.03,0.033,0,Syagrus romanzoffiana,126
Patagones,Buenos Aires,0.029,0.076,662.44,Syagrus romanzoffiana,127
Villarino,Buenos Aires,0.0288,0.095,727.24,Syagrus romanzoffiana,128
