partido,provincia,idoneidad_media,idoneidad_maxima,area_alta_idoneidad_km2,species,rango
Mercedes,Buenos Aires,0.4238,0.588,0,Vachellia caven,84
Rauch,Buenos Aires,0.4228,0.6,0.69,Vachellia caven,85
Suipacha,Buenos Aires,0.4173,0.527,0,Vachellia caven,86
General Guido,Buenos Aires,0.4109,0.665,31.12,Vachellia caven,87
Azul,Buenos Aires,0.3963,0.596,0,Vachellia caven,88
General Juan Madariaga,Buenos Aires,0.3946,0.728,24.66,Vachellia caven,89
Rivadavia,Buenos Aires,0.3916,0.643,57.39,Vachellia caven,90
Olavarría,Buenos Aires,0.3773,0.629,35.08,Vachellia caven,91
Hipólito Yrigoyen,Buenos Aires,0.3755,0.632,4.86,Vachellia caven,92
General Pueyrredón,Buenos Aires,0.3548,0.716,224.08,Vachellia caven,93
Tandil,Buenos Aires,0.3535,0.616,1.37,Vachellia caven,94
Maipú,Buenos Aires,0.3427,0.475,0,Vachellia caven,95
Ayacucho,Buenos Aires,0.3369,0.528,0,Vachellia caven,96
Mar Chiquita,Buenos Aires,0.3329,0.634,115.57,Vachellia caven,97
Laprida,Buenos Aires,0.3272,0.433,0,Vachellia caven,98
Necochea,Buenos Aires,0.3267,0.51,98.63,Vachellia caven,99
Coronel Pringles,Buenos Aires,0.3238,0.534,0,Vachellia caven,100
Benito Juárez,Buenos Aires,0.3106,0.498,0,Vachellia caven,101
San Cayetano,Buenos Aires,0.297,0.395,42.22,Vachellia caven,102
Trenque Lauquen,Buenos Aires,0.294,0.662,52.2,Vachellia caven,103
Tordillo,Buenos Aires,0.2924,0.453,24.23,Vachellia caven,104
General La Madrid,Buenos Aires,0.2924,0.416,0,Vachellia caven,105
Lobería,Buenos Aires,0.2906,0.478,40.34,Vachellia caven,106
Coronel de Marina Leonardo Rosal,Buenos Aires,0.2875,0.443,82.88,Vachellia caven,107
Adolfo Gonzales Chaves,Buenos Aires,0.284,0.368,0,Vachellia caven,108
Coronel Dorrego,Buenos Aires,0.2781,0.5,70.83,Vachellia caven,109
Daireaux,Buenos Aires,0.2599,0.498,0,Vachellia caven,110
Coronel Suárez,Buenos Aires,0.2455,0.594,0,Vachellia caven,111
Bahía Blanca,Buenos Aires,0.245,0.47,42.88,Vachellia caven,112
General Alvarado,Buenos Aires,0.2438,0.37,55.93,Vachellia caven,113
Tornquist,Buenos Aires,0.2431,0.559,0,Vachellia caven,114
Balcarce,Buenos Aires,0.2259,0.491,0,Vachellia caven,115
Monte Hermoso,Buenos Aires,0.2245,0.316,32.73,Vachellia caven,116
Tres Arroyos,Buenos Aires,0.2087,0.369,103.72,Vachellia caven,117
Saavedra,Buenos Aires,0.1866,0.545,0,Vachellia caven,118
General Lavalle,Buenos Aires,0.1761,0.511,35.97,Vachellia caven,119
Pellegrini,Buenos Aires,0.1717,0.371,0,Vachellia caven,120
La Costa,Buenos Aires,0.1663,0.57,97.84,Vachellia caven,121
Guaminí,Buenos Aires,0.1314,0.38,0,Vachellia caven,122
Tres Lomas,Buenos Aires,0.1208,0.219,0,Vachellia caven,123
Puán,Buenos Aires,0.1127,0.213,0,Vachellia caven,124
Salliqueló,Buenos Aires,0.1059,0.148,0,Vachellia caven,125
Adolfo Alsina,Buenos Aires,0.1003,0.343,0,Vachellia caven,126
Villarino,Buenos Aires,0.0864,0.289,727.24,Vachellia caven,127
Patagones,Buenos Aires,0.0753,0.184,662.44,Vachellia caven,128
