partido,provincia,idoneidad_media,idoneidad_maxima,area_alta_idoneidad_km2,species,rango
Pehuajó,Buenos Aires,0.3822,0.672,72.56,Jacaranda mimosifolia,75
San Andrés de Giles,Buenos Aires,0.3807,0.592,0,Jacaranda mimosifolia,76
Chacabuco,Buenos Aires,0.3801,0.623,32.46,Jacaranda mimosifolia,77
Veinticinco de Mayo,Buenos Aires,0.3783,0.695,34.15,Jacaranda mimosifolia,78
Maipú,Buenos Aires,0.365,0.567,0,Jacaranda mimosifolia,79
General Guido,Buenos Aires,0.3641,0.615,1.38,Jacaranda mimosifolia,80
Azul,Buenos Aires,0.3542,0.52,0,Jacaranda mimosifolia,81
Rauch,Buenos Aires,0.3535,0.5,0,Jacaranda mimosifolia,82
Rivadavia,Buenos Aires,0.347,0.636,11.9,Jacaranda mimosifolia,83
Tordillo,Buenos Aires,0.3427,0.561,24.23,Jacaranda mimosifolia,84
Alberti,Buenos Aires,0.3412,0.641,23.89,Jacaranda mimosifolia,85
Lobos,Buenos Aires,0.3375,0.572,0,Jacaranda mimosifolia,86
Hipólito Yrigoyen,Buenos Aires,0.3335,0.553,0,Jacaranda mimosifolia,87
Las Flores,Buenos Aires,0.3308,0.535,0,Jacaranda mimosifolia,88
Mercedes,Buenos Aires,0.3308,0.551,0,Jacaranda mimosifolia,89
Adolfo Gonzales Chaves,Buenos Aires,0.3274,0.454,0,Jacaranda mimosifolia,90
Laprida,Buenos Aires,0.3246,0.5,0,Jacaranda mimosifolia,91
General La Madrid,Buenos Aires,0.3223,0.472,0,Jacaranda mimosifolia,92
Necochea,Buenos Aires,0.3196,0.58,98.63,Jacaranda mimosifolia,93
San Cayetano,Buenos Aires,0.3155,0.453,42.22,Jacaranda mimosifolia,94
Navarro,Buenos Aires,0.3086,0.534,0,Jacaranda mimosifolia,95
Mar Chiquita,Buenos Aires,0.3077,0.551,107.43,Jacaranda mimosifolia,96
Coronel de Marina Leonardo Rosal,Buenos Aires,0.3064,0.536,82.88,Jacaranda mimosifolia,97
Bahía Blanca,Buenos Aires,0.3021,0.568,42.88,Jacaranda mimosifolia,98
Ayacucho,Buenos Aires,0.2989,0.494,0,Jacaranda mimosifolia,99
Saladillo,Buenos Aires,0.2959,0.597,0,Jacaranda mimosifolia,100
Chivilcoy,Buenos Aires,0.2941,0.494,0,Jacaranda mimosifolia,101
Suipacha,Buenos Aires,0.2897,0.467,0,Jacaranda mimosifolia,102
Coronel Pringles,Buenos Aires,0.2885,0.543,0,Jacaranda mimosifolia,103
Benito Juárez,Buenos Aires,0.2636,0.417,0,Jacaranda mimosifolia,104
General Pueyrredón,Buenos Aires,0.2481,0.682,87.26,Jacaranda mimosifolia,105
Tandil,Buenos Aires,0.2457,0.497,0,Jacaranda mimosifolia,106
