partido,provincia,idoneidad_media,idoneidad_maxima,area_alta_idoneidad_km2,species,rango
Rivadavia,Buenos Aires,0.5756,0.744,1819.6,Salpichroa origanifolia,76
Saladillo,Buenos Aires,0.5727,0.765,1100.64,Salpichroa origanifolia,77
San Antonio de Areco,Buenos Aires,0.5721,0.743,355.05,Salpichroa origanifolia,78
Capitán Sarmiento,Buenos Aires,0.5717,0.697,189,Salpichroa origanifolia,79
Olavarría,Buenos Aires,0.5683,0.764,1782.31,Salpichroa origanifolia,80
Dolores,Buenos Aires,0.5612,0.678,644.67,Salpichroa origanifolia,81
Hipólito Yrigoyen,Buenos Aires,0.5596,0.736,493.34,Salpichroa origanifolia,82
Laprida,Buenos Aires,0.5525,0.682,104.13,Salpichroa origanifolia,83
Carmen de Areco,Buenos Aires,0.5489,0.701,279.22,Salpichroa origanifolia,84
Villa Gesell,Buenos Aires,0.5476,0.664,73.06,Salpichroa origanifolia,85
Azul,Buenos Aires,0.5447,0.7,1533.87,Salpichroa origanifolia,86
San Andrés de Giles,Buenos Aires,0.5285,0.655,43.94,Salpichroa origanifolia,87
Navarro,Buenos Aires,0.5269,0.682,105.53,Salpichroa origanifolia,88
Chivilcoy,Buenos Aires,0.5269,0.66,94.94,Salpichroa origanifolia,89
Roque Pérez,Buenos Aires,0.5242,0.709,207.7,Salpichroa origanifolia,90
General La Madrid,Buenos Aires,0.5238,0.685,222.2,Salpichroa origanifolia,91
Coronel Pringles,Buenos Aires,0.5228,0.713,481.33,Salpichroa origanifolia,92
Ayacucho,Buenos Aires,0.5083,0.652,565.08,Salpichroa origanifolia,93
Benito Juárez,Buenos Aires,0.4999,0.638,57.18,Salpichroa origanifolia,94
Suipacha,Buenos Aires,0.4969,0.581,0,Salpichroa origanifolia,95
General Juan Madariaga,Buenos Aires,0.4902,0.744,179.47,Salpichroa origanifolia,96
Adolfo Gonzales Chaves,Buenos Aires,0.4868,0.597,0,Salpichroa origanifolia,97
Mercedes,Buenos Aires,0.4831,0.611,2.82,Salpichroa origanifolia,98
Tandil,Buenos Aires,0.4778,0.709,136.56,Salpichroa origanifolia,99
Daireaux,Buenos Aires,0.4653,0.682,239.63,Salpichroa origanifolia,100
Trenque Lauquen,Buenos Aires,0.4645,0.772,861.38,Salpichroa origanifolia,101
Mar Chiquita,Buenos Aires,0.4543,0.697,216.05,Salpichroa origanifolia,102
Maipú,Buenos Aires,0.4526,0.668,20.63,Salpichroa origanifolia,103
Coronel Suárez,Buenos Aires,0.443,0.702,363.17,Salpichroa origanifolia,104
General Pueyrredón,Buenos Aires,0.4365,0.757,295.89,Salpichroa origanifolia,105
Necochea,Buenos Aires,0.4055,0.601,99.31,Salpichroa origanifolia,106
San Cayetano,Buenos Aires,0.3968,0.535,42.22,Salpichroa origanifolia,107
Tordillo,Buenos Aires,0.3906,0.551,24.23,Salpichroa origanifolia,108
Tornquist,Buenos Aires,0.389,0.707,488.27,Salpichroa origanifolia,109
Bahía Blanca,Buenos Aires,0.3733,0.625,50.93,Salpichroa origanifolia,110
Coronel de Marina Leonardo Rosal,Buenos Aires,0.3721,0.57,82.88,Salpichroa origanifolia,111
Lobería,Buenos Aires,0.3652,0.598,40.34,Salpichroa origanifolia,112
Balcarce,Buenos Aires,0.3533,0.589,0,Salpichroa origanifolia,113
Coronel Dorrego,Buenos Aires,0.3362,0.591,70.83,Salpichroa origanifolia,114
General Alvarado,Buenos Aires,0.3265,0.463,55.93,Salpichroa origanifolia,115
Guaminí,Buenos Aires,0.3241,0.653,37.09,Salpichroa origanifolia,116
Tres Arroyos,Buenos Aires,0.3182,0.578,103.72,Salpichroa origanifolia,117
Saavedra,Buenos Aires,0.3176,0.689,110.6,Salpichroa origanifolia,118
Pellegrini,Buenos Aires,0.3014,0.487,0,Salpichroa origanifolia,119
Tres Lomas,Buenos Aires,0.2855,0.456,0,Salpichroa origanifolia,120
General Lavalle,Buenos Aires,0.2357,0.64,67.54,Salpichroa origanifolia,121
Monte Hermoso,Buenos Aires,0.2288,0.377,32.73,Salpichroa origanifolia,122
Adolfo Alsina,Buenos Aires,0.2035,0.593,0,Salpichroa origanifolia,123
Puán,Buenos Aires,0.1961,0.445,0,Salpichroa origanifolia,124
La Costa,Buenos Aires,0.1947,0.536,97.84,Salpichroa origanifolia,125
Salliqueló,Buenos Aires,0.1904,0.341,0,Salpichroa origanifolia,126
Villarino,Buenos Aires,0.0992,0.473,727.24,Salpichroa origanifolia,127
Patagones,Buenos Aires,0.07,0.258,662.44,Salpichroa origanifolia,128
