partido,provincia,idoneidad_media,idoneidad_maxima,area_alta_idoneidad_km2,species,rango
Saladillo,Buenos Aires,0.1814,0.422,0,Tecoma stans,86
Bolívar,Buenos Aires,0.1813,0.419,0,Tecoma stans,87
Las Flores,Buenos Aires,0.1721,0.321,0,Tecoma stans,88
Rauch,Buenos Aires,0.1713,0.269,0,Tecoma stans,89
Olavarría,Buenos Aires,0.1633,0.382,0,Tecoma stans,90
Necochea,Buenos Aires,0.1597,0.484,98.63,Tecoma stans,91
Tapalqué,Buenos Aires,0.1593,0.331,0,Tecoma stans,92
Pehuajó,Buenos Aires,0.1577,0.45,0,Tecoma stans,93
General Guido,Buenos Aires,0.1561,0.348,0,Tecoma stans,94
Lobería,Buenos Aires,0.1498,0.423,40.34,Tecoma stans,95
General Alvarado,Buenos Aires,0.1438,0.278,55.93,Tecoma stans,96
Adolfo Gonzales Chaves,Buenos Aires,0.1232,0.212,0,Tecoma stans,97
Laprida,Buenos Aires,0.1202,0.234,0,Tecoma stans,98
Hipólito Yrigoyen,Buenos Aires,0.119,0.262,0,Tecoma stans,99
Mar Chiquita,Buenos Aires,0.1186,0.398,107.43,Tecoma stans,100
Azul,Buenos Aires,0.1161,0.251,0,Tecoma stans,101
Rivadavia,Buenos Aires,0.1157,0.24,0,Tecoma stans,102
General Pueyrredón,Buenos Aires,0.1131,0.361,65.61,Tecoma stans,103
Ayacucho,Buenos Aires,0.1098,0.242,0,Tecoma stans,104
Daireaux,Buenos Aires,0.0987,0.241,0,Tecoma stans,105
San Cayetano,Buenos Aires,0.0972,0.181,42.22,Tecoma stans,106
Benito Juárez,Buenos Aires,0.0943,0.224,0,Tecoma stans,107
General La Madrid,Buenos Aires,0.0934,0.203,0,Tecoma stans,108
Tandil,Buenos Aires,0.0892,0.231,0,Tecoma stans,109
Trenque Lauquen,Buenos Aires,0.0869,0.572,0,Tecoma stans,110
Balcarce,Buenos Aires,0.0825,0.229,0,Tecoma stans,111
Tres Arroyos,Buenos Aires,0.0809,0.201,103.72,Tecoma stans,112
Coronel Pringles,Buenos Aires,0.0698,0.237,0,Tecoma stans,113
Coronel Dorrego,Buenos Aires,0.0678,0.14,70.83,Tecoma stans,114
Coronel de Marina Leonardo Rosal,Buenos Aires,0.0584,0.192,82.88,Tecoma stans,115
Guaminí,Buenos Aires,0.0551,0.274,0,Tecoma stans,116
Monte Hermoso,Buenos Aires,0.0545,0.083,32.73,Tecoma stans,117
Coronel Suárez,Buenos Aires,0.0527,0.181,0,Tecoma stans,118
Bahía Blanca,Buenos Aires,0.0506,0.13,42.88,Tecoma stans,119
Pellegrini,Buenos Aires,0.0491,0.091,0,Tecoma stans,120
Tornquist,Buenos Aires,0.0477,0.18,0,Tecoma stans,121
Tres Lomas,Buenos Aires,0.0453,0.073,0,Tecoma stans,122
Adolfo Alsina,Buenos Aires,0.0437,0.25,0,Tecoma stans,123
Salliqueló,Buenos Aires,0.0424,0.068,0,Tecoma stans,124
Saavedra,Buenos Aires,0.0422,0.097,0,Tecoma stans,125
Puán,Buenos Aires,0.0407,0.086,0,Tecoma stans,126
Patagones,Buenos Aires,0.0381,0.166,662.44,Tecoma stans,127
Villarino,Buenos Aires,0.0372,0.135,727.24,Tecoma stans,128
