partido,provincia,idoneidad_media,idoneidad_maxima,area_alta_idoneidad_km2,species,rango
Chacabuco,Buenos Aires,0.6005,0.753,1188.59,Solanum pseudocapsicum,74
Capitán Sarmiento,Buenos Aires,0.5978,0.704,324.73,Solanum pseudocapsicum,75
Carmen de Areco,Buenos Aires,0.5863,0.678,468.08,Solanum pseudocapsicum,76
La Costa,Buenos Aires,0.5856,0.757,192.72,Solanum pseudocapsicum,77
Dolores,Buenos Aires,0.5749,0.758,878.18,Solanum pseudocapsicum,78
Tapalqué,Buenos Aires,0.5703,0.717,1539.43,Solanum pseudocapsicum,79
Rauch,Buenos Aires,0.5703,0.689,1191.33,Solanum pseudocapsicum,80
Suipacha,Buenos Aires,0.5703,0.658,301.96,Solanum pseudocapsicum,81
Bolívar,Buenos Aires,0.5621,0.771,1950.45,Solanum pseudocapsicum,82
General Pueyrredón,Buenos Aires,0.5558,0.822,576.23,Solanum pseudocapsicum,83
Villa Gesell,Buenos Aires,0.5555,0.759,66.92,Solanum pseudocapsicum,84
General Guido,Buenos Aires,0.5535,0.753,1181.32,Solanum pseudocapsicum,85
Ameghino,Buenos Aires,0.5119,0.808,371.59,Solanum pseudocapsicum,86
General Lavalle,Buenos Aires,0.51,0.784,413.56,Solanum pseudocapsicum,87
General Juan Madariaga,Buenos Aires,0.5008,0.867,169.92,Solanum pseudocapsicum,88
Tordillo,Buenos Aires,0.4693,0.675,54.01,Solanum pseudocapsicum,89
Maipú,Buenos Aires,0.4514,0.595,0,Solanum pseudocapsicum,90
Pehuajó,Buenos Aires,0.4511,0.774,991,Solanum pseudocapsicum,91
Olavarría,Buenos Aires,0.4379,0.725,283,Solanum pseudocapsicum,92
Azul,Buenos Aires,0.4353,0.646,111.94,Solanum pseudocapsicum,93
Carlos Tejedor,Buenos Aires,0.4234,0.722,117.63,Solanum pseudocapsicum,94
Ayacucho,Buenos Aires,0.4155,0.648,417.06,Solanum pseudocapsicum,95
General Villegas,Buenos Aires,0.4037,0.851,130.24,Solanum pseudocapsicum,96
Mar Chiquita,Buenos Aires,0.3997,0.737,131.88,Solanum pseudocapsicum,97
Laprida,Buenos Aires,0.3996,0.502,0,Solanum pseudocapsicum,98
General Alvarado,Buenos Aires,0.3908,0.657,62.01,Solanum pseudocapsicum,99
Necochea,Buenos Aires,0.3752,0.634,105.35,Solanum pseudocapsicum,100
Hipólito Yrigoyen,Buenos Aires,0.3736,0.715,81.9,Solanum pseudocapsicum,101
Tandil,Buenos Aires,0.3557,0.659,25.27,Solanum pseudocapsicum,102
Lobería,Buenos Aires,0.3484,0.623,42.36,Solanum pseudocapsicum,103
Benito Juárez,Buenos Aires,0.3351,0.576,0,Solanum pseudocapsicum,104
