partido,provincia,idoneidad_media,idoneidad_maxima,area_alta_idoneidad_km2,species,rango
Pergamino,Buenos Aires,0.1831,0.435,0,Celtis tala,88
Laprida,Buenos Aires,0.1808,0.379,0,Celtis tala,89
Chacabuco,Buenos Aires,0.1757,0.409,0,Celtis tala,90
Tandil,Buenos Aires,0.1749,0.352,0,Celtis tala,91
Adolfo Gonzales Chaves,Buenos Aires,0.1727,0.283,0,Celtis tala,92
General Viamonte,Buenos Aires,0.1552,0.423,0,Celtis tala,93
Benito Juárez,Buenos Aires,0.1475,0.318,0,Celtis tala,94
Junín,Buenos Aires,0.1423,0.41,0,Celtis tala,95
Bolívar,Buenos Aires,0.1387,0.402,0,Celtis tala,96
Rojas,Buenos Aires,0.1386,0.325,0,Celtis tala,97
Coronel Dorrego,Buenos Aires,0.1207,0.296,70.83,Celtis tala,98
Carlos Casares,Buenos Aires,0.1177,0.453,0,Celtis tala,99
Colón,Buenos Aires,0.1172,0.33,0,Celtis tala,100
Coronel Pringles,Buenos Aires,0.1133,0.454,0,Celtis tala,101
General La Madrid,Buenos Aires,0.0978,0.285,0,Celtis tala,102
Monte Hermoso,Buenos Aires,0.0908,0.147,32.73,Celtis tala,103
Guaminí,Buenos Aires,0.0824,0.325,0,Celtis tala,104
General Arenales,Buenos Aires,0.0797,0.334,0,Celtis tala,105
Coronel Suárez,Buenos Aires,0.0717,0.176,0,Celtis tala,106
Coronel de Marina Leonardo Rosal,Buenos Aires,0.0647,0.161,82.88,Celtis tala,107
Tornquist,Buenos Aires,0.0602,0.289,0,Celtis tala,108
Daireaux,Buenos Aires,0.0576,0.295,0,Celtis tala,109
Saavedra,Buenos Aires,0.0557,0.134,0,Celtis tala,110
Bahía Blanca,Buenos Aires,0.0532,0.113,42.88,Celtis tala,111
Trenque Lauquen,Buenos Aires,0.0529,0.634,4.17,Celtis tala,112
Lincoln,Buenos Aires,0.0519,0.256,0,Celtis tala,113
Leandro N. Alem,Buenos Aires,0.0489,0.229,0,Celtis tala,114
Hipólito Yrigoyen,Buenos Aires,0.0459,0.21,0,Celtis tala,115
General Pinto,Buenos Aires,0.045,0.392,0,Celtis tala,116
Ameghino,Buenos Aires,0.0351,0.335,0,Celtis tala,117
Pehuajó,Buenos Aires,0.0343,0.256,0,Celtis tala,118
Tres Lomas,Buenos Aires,0.0334,0.066,0,Celtis tala,119
Carlos Tejedor,Buenos Aires,0.0333,0.119,0,Celtis tala,120
Adolfo Alsina,Buenos Aires,0.0327,0.174,0,Celtis tala,121
Rivadavia,Buenos Aires,0.032,0.096,0,Celtis tala,122
General Villegas,Buenos Aires,0.0302,0.41,0,Celtis tala,123
Salliqueló,Buenos Aires,0.0279,0.062,0,Celtis tala,124
Pellegrini,Buenos Aires,0.0275,0.032,0,Celtis tala,125
Puán,Buenos Aires,0.0274,0.074,0,Celtis tala,126
Villarino,Buenos Aires,0.0268,0.074,727.24,Celtis tala,127
Patagones,Buenos Aires,0.0267,0.068,662.44,Celtis tala,128
