partido,provincia,idoneidad_media,idoneidad_maxima,area_alta_idoneidad_km2,species,rango
San Andrés de Giles,Buenos Aires,0.5494,0.725,91.4,Passiflora caerulea,80
Capitán Sarmiento,Buenos Aires,0.547,0.659,84.58,Passiflora caerulea,81
Chivilcoy,Buenos Aires,0.5385,0.693,150.46,Passiflora caerulea,82
Carmen de Areco,Buenos Aires,0.5374,0.67,30.48,Passiflora caerulea,83
Tapalqué,Buenos Aires,0.5365,0.737,637.78,Passiflora caerulea,84
General Guido,Buenos Aires,0.5324,0.718,185.81,Passiflora caerulea,85
Mercedes,Buenos Aires,0.5252,0.684,69.85,Passiflora caerulea,86
Maipú,Buenos Aires,0.5152,0.655,41.96,Passiflora caerulea,87
Tordillo,Buenos Aires,0.5148,0.726,230.61,Passiflora caerulea,88
Suipacha,Buenos Aires,0.5147,0.635,15.54,Passiflora caerulea,89
General Pueyrredón,Buenos Aires,0.4948,0.781,344.66,Passiflora caerulea,90
Mar Chiquita,Buenos Aires,0.4692,0.701,238.5,Passiflora caerulea,91
Hipólito Yrigoyen,Buenos Aires,0.4599,0.739,154.06,Passiflora caerulea,92
General Alvarado,Buenos Aires,0.4565,0.628,63.35,Passiflora caerulea,93
Rauch,Buenos Aires,0.4543,0.636,93.53,Passiflora caerulea,94
Necochea,Buenos Aires,0.4538,0.726,1095.22,Passiflora caerulea,95
Rivadavia,Buenos Aires,0.4496,0.621,56.68,Passiflora caerulea,96
Olavarría,Buenos Aires,0.4387,0.692,45.47,Passiflora caerulea,97
Lobería,Buenos Aires,0.4338,0.673,575.24,Passiflora caerulea,98
Laprida,Buenos Aires,0.419,0.499,0,Passiflora caerulea,99
General Lavalle,Buenos Aires,0.4172,0.763,272.35,Passiflora caerulea,100
Azul,Buenos Aires,0.4147,0.612,0.68,Passiflora caerulea,101
Benito Juárez,Buenos Aires,0.4041,0.568,0,Passiflora caerulea,102
Adolfo Gonzales Chaves,Buenos Aires,0.3961,0.46,0,Passiflora caerulea,103
La Costa,Buenos Aires,0.396,0.606,99.89,Passiflora caerulea,104
Ayacucho,Buenos Aires,0.3903,0.549,0,Passiflora caerulea,105
San Cayetano,Buenos Aires,0.3902,0.482,42.22,Passiflora caerulea,106
Coronel Pringles,Buenos Aires,0.3878,0.609,3.38,Passiflora caerulea,107
General La Madrid,Buenos Aires,0.3858,0.474,0,Passiflora caerulea,108
Tandil,Buenos Aires,0.3764,0.62,2.73,Passiflora caerulea,109
Daireaux,Buenos Aires,0.3685,0.552,0,Passiflora caerulea,110
Trenque Lauquen,Buenos Aires,0.3598,0.688,148.86,Passiflora caerulea,111
Coronel de Marina Leonardo Rosal,Buenos Aires,0.3521,0.603,83.55,Passiflora caerulea,112
Balcarce,Buenos Aires,0.3363,0.67,27.13,Passiflora caerulea,113
Bahía Blanca,Buenos Aires,0.3235,0.651,56.96,Passiflora caerulea,114
Tres Arroyos,Buenos Aires,0.3219,0.485,103.72,Passiflora caerulea,115
Coronel Suárez,Buenos Aires,0.3114,0.614,2.71,Passiflora caerulea,116
Coronel Dorrego,Buenos Aires,0.3076,0.49,70.83,Passiflora caerulea,117
Tornquist,Buenos Aires,0.295,0.601,0.68,Passiflora caerulea,118
Guaminí,Buenos Aires,0.2891,0.574,0,Passiflora caerulea,119
Monte Hermoso,Buenos Aires,0.2432,0.405,32.73,Passiflora caerulea,120
Pellegrini,Buenos Aires,0.2384,0.341,0,Passiflora caerulea,121
Saavedra,Buenos Aires,0.2192,0.589,0,Passiflora caerulea,122
Tres Lomas,Buenos Aires,0.2185,0.309,0,Passiflora caerulea,123
Adolfo Alsina,Buenos Aires,0.1981,0.506,0,Passiflora caerulea,124
Puán,Buenos Aires,0.1924,0.388,0,Passiflora caerulea,125
Salliqueló,Buenos Aires,0.1794,0.253,0,Passiflora caerulea,126
Villarino,Buenos Aires,0.168,0.539,727.24,Passiflora caerulea,127
Patagones,Buenos Aires,0.1281,0.324,662.44,Passiflora caerulea,128
