partido,provincia,idoneidad_media,idoneidad_maxima,area_alta_idoneidad_km2,species,rango
Chivilcoy,Buenos Aires,0.4095,0.507,0,Phytolacca dioica,81
Las Flores,Buenos Aires,0.4051,0.533,0,Phytolacca dioica,82
Bolívar,Buenos Aires,0.4034,0.572,0,Phytolacca dioica,83
Tapalqué,Buenos Aires,0.3983,0.59,0,Phytolacca dioica,84
Roque Pérez,Buenos Aires,0.3968,0.558,0,Phytolacca dioica,85
General Alvarado,Buenos Aires,0.3498,0.559,55.93,Phytolacca dioica,86
Carlos Tejedor,Buenos Aires,0.3403,0.554,0,Phytolacca dioica,87
Ameghino,Buenos Aires,0.3401,0.617,2.12,Phytolacca dioica,88
Maipú,Buenos Aires,0.3376,0.541,0,Phytolacca dioica,89
Olavarría,Buenos Aires,0.3162,0.546,0,Phytolacca dioica,90
General Pueyrredón,Buenos Aires,0.3153,0.657,77.79,Phytolacca dioica,91
General Guido,Buenos Aires,0.3072,0.614,0.69,Phytolacca dioica,92
Necochea,Buenos Aires,0.2939,0.63,101.99,Phytolacca dioica,93
Lobería,Buenos Aires,0.2934,0.57,40.34,Phytolacca dioica,94
Rauch,Buenos Aires,0.287,0.466,0,Phytolacca dioica,95
Pehuajó,Buenos Aires,0.2868,0.604,0.7,Phytolacca dioica,96
General Villegas,Buenos Aires,0.2642,0.668,24.79,Phytolacca dioica,97
Rivadavia,Buenos Aires,0.2619,0.509,0,Phytolacca dioica,98
Hipólito Yrigoyen,Buenos Aires,0.2609,0.546,0,Phytolacca dioica,99
Mar Chiquita,Buenos Aires,0.2573,0.673,112.88,Phytolacca dioica,100
Azul,Buenos Aires,0.2492,0.453,0,Phytolacca dioica,101
Laprida,Buenos Aires,0.2241,0.322,0,Phytolacca dioica,102
San Cayetano,Buenos Aires,0.2232,0.346,42.22,Phytolacca dioica,103
Tres Arroyos,Buenos Aires,0.2229,0.373,103.72,Phytolacca dioica,104
General La Madrid,Buenos Aires,0.2213,0.341,0,Phytolacca dioica,105
Adolfo Gonzales Chaves,Buenos Aires,0.2151,0.328,0,Phytolacca dioica,106
Trenque Lauquen,Buenos Aires,0.1987,0.683,24.32,Phytolacca dioica,107
Coronel de Marina Leonardo Rosal,Buenos Aires,0.1934,0.319,82.88,Phytolacca dioica,108
Ayacucho,Buenos Aires,0.1933,0.353,0,Phytolacca dioica,109
Daireaux,Buenos Aires,0.1911,0.404,0,Phytolacca dioica,110
Balcarce,Buenos Aires,0.1839,0.392,0,Phytolacca dioica,111
Coronel Pringles,Buenos Aires,0.1785,0.388,0,Phytolacca dioica,112
Bahía Blanca,Buenos Aires,0.1702,0.443,42.88,Phytolacca dioica,113
Benito Juárez,Buenos Aires,0.17,0.276,0,Phytolacca dioica,114
Coronel Dorrego,Buenos Aires,0.1689,0.29,70.83,Phytolacca dioica,115
Tandil,Buenos Aires,0.1624,0.326,0,Phytolacca dioica,116
Monte Hermoso,Buenos Aires,0.1424,0.263,32.73,Phytolacca dioica,117
Coronel Suárez,Buenos Aires,0.142,0.289,0,Phytolacca dioica,118
Guaminí,Buenos Aires,0.1317,0.388,0,Phytolacca dioica,119
Tornquist,Buenos Aires,0.1273,0.337,0,Phytolacca dioica,120
Saavedra,Buenos Aires,0.0948,0.254,0,Phytolacca dioica,121
Adolfo Alsina,Buenos Aires,0.0775,0.342,0,Phytolacca dioica,122
Tres Lomas,Buenos Aires,0.0709,0.131,0,Phytolacca dioica,123
Puán,Buenos Aires,0.069,0.346,0,Phytolacca dioica,124
Pellegrini,Buenos Aires,0.0627,0.134,0,Phytolacca dioica,125
Salliqueló,Buenos Aires,0.0513,0.082,0,Phytolacca dioica,126
Villarino,Buenos Aires,0.0474,0.31,727.24,Phytolacca dioica,127
Patagones,Buenos Aires,0.0378,0.166,662.44,Phytolacca dioica,128
