partido,provincia,idoneidad_media,idoneidad_maxima,area_alta_idoneidad_km2,species,rango
Capitán Sarmiento,Buenos Aires,0.5417,0.645,66.8,Schinus molle,86
Bahía Blanca,Buenos Aires,0.5338,0.792,338.05,Schinus molle,87
Maipú,Buenos Aires,0.53,0.748,641.92,Schinus molle,88
Chacabuco,Buenos Aires,0.5254,0.686,663.74,Schinus molle,89
Lobería,Buenos Aires,0.5253,0.698,1229.91,Schinus molle,90
Tres Arroyos,Buenos Aires,0.5232,0.678,329.01,Schinus molle,91
Lobos,Buenos Aires,0.5207,0.762,305.12,Schinus molle,92
Daireaux,Buenos Aires,0.5171,0.726,936.65,Schinus molle,93
Las Flores,Buenos Aires,0.5144,0.704,651.12,Schinus molle,94
Alberti,Buenos Aires,0.5082,0.697,199.68,Schinus molle,95
Trenque Lauquen,Buenos Aires,0.5073,0.797,1405.5,Schinus molle,96
Carmen de Areco,Buenos Aires,0.5071,0.639,15.59,Schinus molle,97
San Andrés de Giles,Buenos Aires,0.4967,0.647,38.27,Schinus molle,98
Coronel Pringles,Buenos Aires,0.4957,0.716,533.22,Schinus molle,99
Saladillo,Buenos Aires,0.4873,0.745,547.93,Schinus molle,100
Balcarce,Buenos Aires,0.4825,0.722,311.89,Schinus molle,101
General Alvarado,Buenos Aires,0.4806,0.668,70.11,Schinus molle,102
General La Madrid,Buenos Aires,0.4759,0.655,215.35,Schinus molle,103
Coronel Dorrego,Buenos Aires,0.4746,0.644,143.23,Schinus molle,104
Navarro,Buenos Aires,0.4678,0.604,0.7,Schinus molle,105
Chivilcoy,Buenos Aires,0.4661,0.593,0,Schinus molle,106
Adolfo Gonzales Chaves,Buenos Aires,0.4622,0.622,7.43,Schinus molle,107
Tordillo,Buenos Aires,0.4603,0.728,119.07,Schinus molle,108
Tandil,Buenos Aires,0.458,0.679,109.17,Schinus molle,109
Laprida,Buenos Aires,0.4578,0.565,0,Schinus molle,110
Tornquist,Buenos Aires,0.4572,0.715,696.96,Schinus molle,111
Benito Juárez,Buenos Aires,0.4439,0.648,97.28,Schinus molle,112
Suipacha,Buenos Aires,0.4365,0.541,0,Schinus molle,113
Mercedes,Buenos Aires,0.4357,0.605,2.83,Schinus molle,114
Roque Pérez,Buenos Aires,0.4258,0.731,28.65,Schinus molle,115
Coronel Suárez,Buenos Aires,0.4166,0.709,500.1,Schinus molle,116
La Costa,Buenos Aires,0.4118,0.61,101.95,Schinus molle,117
Guaminí,Buenos Aires,0.3936,0.643,61.12,Schinus molle,118
Monte Hermoso,Buenos Aires,0.3817,0.606,34.07,Schinus molle,119
Tres Lomas,Buenos Aires,0.3744,0.563,0,Schinus molle,120
General Lavalle,Buenos Aires,0.3727,0.763,124.69,Schinus molle,121
Saavedra,Buenos Aires,0.3719,0.678,128.91,Schinus molle,122
Pellegrini,Buenos Aires,0.3552,0.604,0.7,Schinus molle,123
Puán,Buenos Aires,0.3444,0.547,0,Schinus molle,124
Adolfo Alsina,Buenos Aires,0.3272,0.699,49.28,Schinus molle,125
Salliqueló,Buenos Aires,0.2993,0.512,0,Schinus molle,126
Villarino,Buenos Aires,0.2438,0.667,750.7,Schinus molle,127
Patagones,Buenos Aires,0.2003,0.494,662.44,Schinus molle,128
